nom,cognoms,curs,email,contrasenya,email,contrasenya
Carles,Vidal López,4rtESO,carles.vidallópez@insgabrielamistral.cat,"EY,E5amD_v",carles.vidallópez@insgabrielamistral.cat,"EY,E5amD_v"
Jordi,Ribas Costa,SMIX1A,jordi.ribascosta@insgabrielamistral.cat,knwL&[\TEX,jordi.ribascosta@insgabrielamistral.cat,knwL&[\TEX
David,Ribas Gomez,SMIX1B,david.ribasgomez@insgabrielamistral.cat,rk0H]1q{Q9,david.ribasgomez@insgabrielamistral.cat,rk0H]1q{Q9
Jordi,Bosch Prat,SMIX1B,jordi.boschprat@insgabrielamistral.cat,?GaK*YHO(0,jordi.boschprat@insgabrielamistral.cat,?GaK*YHO(0
Sergi,Ferrer Navarro,3rESO,sergi.ferrernavarro@insgabrielamistral.cat,9!8RUXbTNz,sergi.ferrernavarro@insgabrielamistral.cat,9!8RUXbTNz
Mireia,Vidal Martínez,SMIX1B,mireia.vidalmartínez@insgabrielamistral.cat,&M%{rU11&X,mireia.vidalmartínez@insgabrielamistral.cat,&M%{rU11&X
Clara,Prat Vidal,2nESO,clara.pratvidal@insgabrielamistral.cat,",m>PRL2yl]",clara.pratvidal@insgabrielamistral.cat,",m>PRL2yl]"
Jordi,Bosch Colom,SMIX1B,jordi.boschcolom@insgabrielamistral.cat,"kn""qt0I(V7",jordi.boschcolom@insgabrielamistral.cat,"kn""qt0I(V7"
Maria,Colom Mas,ASIX2,maria.colommas@insgabrielamistral.cat,Fm(V(&!bBY,maria.colommas@insgabrielamistral.cat,Fm(V(&!bBY
Mireia,López Morales,4rtESO,mireia.lópezmorales@insgabrielamistral.cat,q=E7IU(y^!,mireia.lópezmorales@insgabrielamistral.cat,q=E7IU(y^!
Mireia,Martínez Costa,ASIX2,mireia.martínezcosta@insgabrielamistral.cat,8M{S6sr/$&,mireia.martínezcosta@insgabrielamistral.cat,8M{S6sr/$&
Jordi,Torres Morales,DAM1,jordi.torresmorales@insgabrielamistral.cat,K}u9N%t-]1,jordi.torresmorales@insgabrielamistral.cat,K}u9N%t-]1
Mireia,Ribas Torres,1rESO,mireia.ribastorres@insgabrielamistral.cat,Xaqvw.ijel,mireia.ribastorres@insgabrielamistral.cat,Xaqvw.ijel
Joan,Ribas Sanchez,4rtESO,joan.ribassanchez@insgabrielamistral.cat,_GCr_E80XV,joan.ribassanchez@insgabrielamistral.cat,_GCr_E80XV
Laura,Prat Prat,3rESO,laura.pratprat@insgabrielamistral.cat,1EgI)G0U(W,laura.pratprat@insgabrielamistral.cat,1EgI)G0U(W
Marc,Prat Ribas,DAM2,marc.pratribas@insgabrielamistral.cat,3^\*<xL~]C,marc.pratribas@insgabrielamistral.cat,3^\*<xL~]C
Marc,Prat Ribas,ASIX2,marc.pratribas@insgabrielamistral.cat,L#!DNi$+fv,marc.pratribas@insgabrielamistral.cat,L#!DNi$+fv
Josep,Bosch Mas,DAM2,josep.boschmas@insgabrielamistral.cat,AlHJ^OyVRP,josep.boschmas@insgabrielamistral.cat,AlHJ^OyVRP
Marc,Navarro Costa,SMIX1A,marc.navarrocosta@insgabrielamistral.cat,7:q.N-Ms*J,marc.navarrocosta@insgabrielamistral.cat,7:q.N-Ms*J
Maria,Mas Sanchez,4rtESO,maria.massanchez@insgabrielamistral.cat,qH2s40k_N?,maria.massanchez@insgabrielamistral.cat,qH2s40k_N?
Mireia,Bosch Bosch,DAM2,mireia.boschbosch@insgabrielamistral.cat,_H;hjF]egR,mireia.boschbosch@insgabrielamistral.cat,_H;hjF]egR
Marta,Bosch Costa,4rtESO,marta.boschcosta@insgabrielamistral.cat,o)82pk{28e,marta.boschcosta@insgabrielamistral.cat,o)82pk{28e
Marta,Navarro Martínez,DAM1,marta.navarromartínez@insgabrielamistral.cat,ZQ(W<4P5G1,marta.navarromartínez@insgabrielamistral.cat,ZQ(W<4P5G1
Albert,Costa Morales,ASIX2,albert.costamorales@insgabrielamistral.cat,"x,(QyA{1Xt",albert.costamorales@insgabrielamistral.cat,"x,(QyA{1Xt"
Maria,Colom Ferrer,1rESO,maria.colomferrer@insgabrielamistral.cat,rIMIK7Arz8,maria.colomferrer@insgabrielamistral.cat,rIMIK7Arz8
Jordi,Colom López,DAM1,jordi.colomlópez@insgabrielamistral.cat,z(gP&cQ9-H,jordi.colomlópez@insgabrielamistral.cat,z(gP&cQ9-H
Jordi,Vidal Prat,ASIX2,jordi.vidalprat@insgabrielamistral.cat,wLy>.6iRp',jordi.vidalprat@insgabrielamistral.cat,wLy>.6iRp'
Mireia,Torres Vidal,ASIX1,mireia.torresvidal@insgabrielamistral.cat,-W]Ua8}E`{,mireia.torresvidal@insgabrielamistral.cat,-W]Ua8}E`{
Laura,Vidal Navarro,ASIX2,laura.vidalnavarro@insgabrielamistral.cat,>go]/X+Khv,laura.vidalnavarro@insgabrielamistral.cat,>go]/X+Khv
Sergi,Bosch Prat,1rESO,sergi.boschprat@insgabrielamistral.cat,cX-.pE[h]H,sergi.boschprat@insgabrielamistral.cat,cX-.pE[h]H
Nuria,Colom Morales,DAM2,nuria.colommorales@insgabrielamistral.cat,"mv^]V""/f#k",nuria.colommorales@insgabrielamistral.cat,"mv^]V""/f#k"
Joan,Bosch Prat,ASIX1,joan.boschprat@insgabrielamistral.cat,$4FiZ!-gyg,joan.boschprat@insgabrielamistral.cat,$4FiZ!-gyg
Laura,Torres Garcia,DAM2,laura.torresgarcia@insgabrielamistral.cat,h>.?%1_5F4,laura.torresgarcia@insgabrielamistral.cat,h>.?%1_5F4
Sandra,Bosch Martínez,4rtESO,sandra.boschmartínez@insgabrielamistral.cat,58|Xi[a\F|,sandra.boschmartínez@insgabrielamistral.cat,58|Xi[a\F|
Marc,Gomez Martínez,DAM1,marc.gomezmartínez@insgabrielamistral.cat,TwJ=P'yz_K,marc.gomezmartínez@insgabrielamistral.cat,TwJ=P'yz_K
Marc,Colom Gomez,DAM1,marc.colomgomez@insgabrielamistral.cat,zze4)wGb7F,marc.colomgomez@insgabrielamistral.cat,zze4)wGb7F
Sergi,López Morales,3rESO,sergi.lópezmorales@insgabrielamistral.cat,%U'3'1Y\>#,sergi.lópezmorales@insgabrielamistral.cat,%U'3'1Y\>#
Laura,Garcia Torres,1rESO,laura.garciatorres@insgabrielamistral.cat,VMGK|vd$YC,laura.garciatorres@insgabrielamistral.cat,VMGK|vd$YC
Mireia,Sanchez Gomez,4rtESO,mireia.sanchezgomez@insgabrielamistral.cat,<s(|G/(u=n,mireia.sanchezgomez@insgabrielamistral.cat,<s(|G/(u=n
Marc,Torres Ribas,SMIX1A,marc.torresribas@insgabrielamistral.cat,r2^%8P6JQ?,marc.torresribas@insgabrielamistral.cat,r2^%8P6JQ?
Jordi,Gomez Morales,ASIX2,jordi.gomezmorales@insgabrielamistral.cat,oVkh;P?zPv,jordi.gomezmorales@insgabrielamistral.cat,oVkh;P?zPv
Sergi,Prat Torres,SMIX1A,sergi.prattorres@insgabrielamistral.cat,WGOcZI6r6&,sergi.prattorres@insgabrielamistral.cat,WGOcZI6r6&
Maria,Ribas Vidal,DAM2,maria.ribasvidal@insgabrielamistral.cat,\/a7d+h(^`,maria.ribasvidal@insgabrielamistral.cat,\/a7d+h(^`
Maria,Colom Sanchez,ASIX2,maria.colomsanchez@insgabrielamistral.cat,"q'H5[CQrb""",maria.colomsanchez@insgabrielamistral.cat,"q'H5[CQrb"""
Anna,Torres Colom,3rESO,anna.torrescolom@insgabrielamistral.cat,`dq++Vt2Ls,anna.torrescolom@insgabrielamistral.cat,`dq++Vt2Ls
David,Navarro Prat,ASIX2,david.navarroprat@insgabrielamistral.cat,"G`,}Sc*iP(",david.navarroprat@insgabrielamistral.cat,"G`,}Sc*iP("
Anna,Colom Morales,DAM2,anna.colommorales@insgabrielamistral.cat,|[KH2+jV#],anna.colommorales@insgabrielamistral.cat,|[KH2+jV#]
Marc,Gomez Costa,ASIX2,marc.gomezcosta@insgabrielamistral.cat,NAhV9O+DJ},marc.gomezcosta@insgabrielamistral.cat,NAhV9O+DJ}
Maria,Morales Prat,4rtESO,maria.moralesprat@insgabrielamistral.cat,AF=+HgVC0`,maria.moralesprat@insgabrielamistral.cat,AF=+HgVC0`
Mireia,Vidal López,ASIX1,mireia.vidallópez@insgabrielamistral.cat,"l+sX|<f""},",mireia.vidallópez@insgabrielamistral.cat,"l+sX|<f""},"
Joan,Prat Mas,4rtESO,joan.pratmas@insgabrielamistral.cat,":,r>IkHQY<",joan.pratmas@insgabrielamistral.cat,":,r>IkHQY<"
Albert,Torres Costa,3rESO,albert.torrescosta@insgabrielamistral.cat,j5H0CswOA^,albert.torrescosta@insgabrielamistral.cat,j5H0CswOA^
Anna,Ferrer Gomez,SMIX1B,anna.ferrergomez@insgabrielamistral.cat,P%X^yl<#]j,anna.ferrergomez@insgabrielamistral.cat,P%X^yl<#]j
Mireia,Ferrer Prat,SMIX1B,mireia.ferrerprat@insgabrielamistral.cat,"yA""jVTL3hi",mireia.ferrerprat@insgabrielamistral.cat,"yA""jVTL3hi"
Mireia,López Martínez,SMIX1A,mireia.lópezmartínez@insgabrielamistral.cat,^OIA0;oS48,mireia.lópezmartínez@insgabrielamistral.cat,^OIA0;oS48
Mireia,Martínez Ferrer,SMIX1B,mireia.martínezferrer@insgabrielamistral.cat,"o_$rjy""hF'",mireia.martínezferrer@insgabrielamistral.cat,"o_$rjy""hF'"
Carles,Ferrer Navarro,SMIX1A,carles.ferrernavarro@insgabrielamistral.cat,"y6^t""=0""%u",carles.ferrernavarro@insgabrielamistral.cat,"y6^t""=0""%u"
Marc,Ferrer Sanchez,SMIX1B,marc.ferrersanchez@insgabrielamistral.cat,K/^`;W+M$m,marc.ferrersanchez@insgabrielamistral.cat,K/^`;W+M$m
Maria,Prat Ribas,DAM2,maria.pratribas@insgabrielamistral.cat,Uv-oaw^{Pk,maria.pratribas@insgabrielamistral.cat,Uv-oaw^{Pk
Josep,Vidal Colom,DAM2,josep.vidalcolom@insgabrielamistral.cat,nwTV#5HoX$,josep.vidalcolom@insgabrielamistral.cat,nwTV#5HoX$
David,López Bosch,4rtESO,david.lópezbosch@insgabrielamistral.cat,$OVs4yw@/5,david.lópezbosch@insgabrielamistral.cat,$OVs4yw@/5
David,Ferrer Navarro,DAM2,david.ferrernavarro@insgabrielamistral.cat,'=tnY*ziZ&,david.ferrernavarro@insgabrielamistral.cat,'=tnY*ziZ&
Nuria,Garcia López,ASIX2,nuria.garcialópez@insgabrielamistral.cat,bxkHtL;Y@*,nuria.garcialópez@insgabrielamistral.cat,bxkHtL;Y@*
Jordi,Vidal López,ASIX2,jordi.vidallópez@insgabrielamistral.cat,Lf`r!VAoBy,jordi.vidallópez@insgabrielamistral.cat,Lf`r!VAoBy
Sandra,Costa Mas,DAM2,sandra.costamas@insgabrielamistral.cat,@?Q8}@did9,sandra.costamas@insgabrielamistral.cat,@?Q8}@did9
Mireia,Sanchez Ferrer,4rtESO,mireia.sanchezferrer@insgabrielamistral.cat,.5%bmkn'[o,mireia.sanchezferrer@insgabrielamistral.cat,.5%bmkn'[o
Mireia,Torres Morales,3rESO,mireia.torresmorales@insgabrielamistral.cat,CSPssF'+2?,mireia.torresmorales@insgabrielamistral.cat,CSPssF'+2?
David,Bosch Mas,1rESO,david.boschmas@insgabrielamistral.cat,0T1;]n6+2>,david.boschmas@insgabrielamistral.cat,0T1;]n6+2>
Mireia,Vidal Prat,ASIX2,mireia.vidalprat@insgabrielamistral.cat,"u"";w&!B""Bj",mireia.vidalprat@insgabrielamistral.cat,"u"";w&!B""Bj"
Clara,Torres Costa,SMIX1A,clara.torrescosta@insgabrielamistral.cat,K]z2cxE<\k,clara.torrescosta@insgabrielamistral.cat,K]z2cxE<\k
Maria,Ferrer Costa,ASIX2,maria.ferrercosta@insgabrielamistral.cat,diE[)HGw-V,maria.ferrercosta@insgabrielamistral.cat,diE[)HGw-V
Maria,Costa Garcia,DAM1,maria.costagarcia@insgabrielamistral.cat,YD<y61tDMu,maria.costagarcia@insgabrielamistral.cat,YD<y61tDMu
Nuria,Ribas Torres,4rtESO,nuria.ribastorres@insgabrielamistral.cat,)+*Hg!#f$-,nuria.ribastorres@insgabrielamistral.cat,)+*Hg!#f$-
Marta,Mas Costa,ASIX2,marta.mascosta@insgabrielamistral.cat,;wWeU2HH*0,marta.mascosta@insgabrielamistral.cat,;wWeU2HH*0
Josep,Gomez Gomez,2nESO,josep.gomezgomez@insgabrielamistral.cat,^)0U:VlYNe,josep.gomezgomez@insgabrielamistral.cat,^)0U:VlYNe
Marta,Garcia Ferrer,SMIX1A,marta.garciaferrer@insgabrielamistral.cat,]lGC#Qb!X*,marta.garciaferrer@insgabrielamistral.cat,]lGC#Qb!X*
Sandra,Prat Bosch,ASIX2,sandra.pratbosch@insgabrielamistral.cat,@_3EGV8I(h,sandra.pratbosch@insgabrielamistral.cat,@_3EGV8I(h
Nuria,Morales Ferrer,DAM1,nuria.moralesferrer@insgabrielamistral.cat,%Sq'U{AO%_,nuria.moralesferrer@insgabrielamistral.cat,%Sq'U{AO%_
Marta,Torres Colom,ASIX1,marta.torrescolom@insgabrielamistral.cat,"h!""O6-oBZr",marta.torrescolom@insgabrielamistral.cat,"h!""O6-oBZr"
Jordi,Ribas López,DAM2,jordi.ribaslópez@insgabrielamistral.cat,`($U;[Ll4K,jordi.ribaslópez@insgabrielamistral.cat,`($U;[Ll4K
Jordi,Martínez Navarro,SMIX1A,jordi.martíneznavarro@insgabrielamistral.cat,7M)6iJD$Y#,jordi.martíneznavarro@insgabrielamistral.cat,7M)6iJD$Y#
Nuria,Costa Sanchez,2nESO,nuria.costasanchez@insgabrielamistral.cat,.0A#rheSHr,nuria.costasanchez@insgabrielamistral.cat,.0A#rheSHr
Laura,Morales Sanchez,3rESO,laura.moralessanchez@insgabrielamistral.cat,'Fvh@^Gy1H,laura.moralessanchez@insgabrielamistral.cat,'Fvh@^Gy1H
Sergi,Ribas Ribas,DAM2,sergi.ribasribas@insgabrielamistral.cat,WY.4(jCd~v,sergi.ribasribas@insgabrielamistral.cat,WY.4(jCd~v
Anna,Martínez Colom,SMIX1A,anna.martínezcolom@insgabrielamistral.cat,hfU)Li]HP(,anna.martínezcolom@insgabrielamistral.cat,hfU)Li]HP(
Josep,Mas Ferrer,3rESO,josep.masferrer@insgabrielamistral.cat,cv8PC3<HcI,josep.masferrer@insgabrielamistral.cat,cv8PC3<HcI
Anna,Navarro Bosch,1rESO,anna.navarrobosch@insgabrielamistral.cat,"ECo""VU+fZh",anna.navarrobosch@insgabrielamistral.cat,"ECo""VU+fZh"
Mireia,Morales Garcia,DAM1,mireia.moralesgarcia@insgabrielamistral.cat,){eDHXx>92,mireia.moralesgarcia@insgabrielamistral.cat,){eDHXx>92
Nuria,Torres Navarro,ASIX2,nuria.torresnavarro@insgabrielamistral.cat,T.6'MZ:wLP,nuria.torresnavarro@insgabrielamistral.cat,T.6'MZ:wLP
Maria,Martínez Ferrer,3rESO,maria.martínezferrer@insgabrielamistral.cat,wH2FUm\Exp,maria.martínezferrer@insgabrielamistral.cat,wH2FUm\Exp
Sandra,López Ribas,SMIX1B,sandra.lópezribas@insgabrielamistral.cat,h!>F?iw#Bv,sandra.lópezribas@insgabrielamistral.cat,h!>F?iw#Bv
Nuria,Bosch López,3rESO,nuria.boschlópez@insgabrielamistral.cat,^JT-=Xk<dC,nuria.boschlópez@insgabrielamistral.cat,^JT-=Xk<dC
Mireia,Torres Vidal,1rESO,mireia.torresvidal@insgabrielamistral.cat,`cSB2$G~4h,mireia.torresvidal@insgabrielamistral.cat,`cSB2$G~4h
Nuria,Bosch Gomez,DAM2,nuria.boschgomez@insgabrielamistral.cat,kER-6~l+P),nuria.boschgomez@insgabrielamistral.cat,kER-6~l+P)
Maria,Gomez Colom,SMIX1B,maria.gomezcolom@insgabrielamistral.cat,=wh|?Soxcf,maria.gomezcolom@insgabrielamistral.cat,=wh|?Soxcf
Josep,Vidal Vidal,3rESO,josep.vidalvidal@insgabrielamistral.cat,"""q%dc<9\q6",josep.vidalvidal@insgabrielamistral.cat,"""q%dc<9\q6"
Maria,Morales Torres,SMIX1B,maria.moralestorres@insgabrielamistral.cat,Dc2KAeLgo4,maria.moralestorres@insgabrielamistral.cat,Dc2KAeLgo4
Jordi,Costa Navarro,3rESO,jordi.costanavarro@insgabrielamistral.cat,N'q`E5eOIN,jordi.costanavarro@insgabrielamistral.cat,N'q`E5eOIN
Sandra,Vidal Vidal,4rtESO,sandra.vidalvidal@insgabrielamistral.cat,q%<fXa$!U#,sandra.vidalvidal@insgabrielamistral.cat,q%<fXa$!U#
Laura,Gomez Vidal,DAM2,laura.gomezvidal@insgabrielamistral.cat,8~JH%5Uq6*,laura.gomezvidal@insgabrielamistral.cat,8~JH%5Uq6*
Anna,Vidal Bosch,1rESO,anna.vidalbosch@insgabrielamistral.cat,04e{Pw@:`},anna.vidalbosch@insgabrielamistral.cat,04e{Pw@:`}
Joan,Sanchez Bosch,DAM2,joan.sanchezbosch@insgabrielamistral.cat,vMLW)!@lJy,joan.sanchezbosch@insgabrielamistral.cat,vMLW)!@lJy
Maria,Torres Morales,DAM2,maria.torresmorales@insgabrielamistral.cat,gz!7zh*Wq\,maria.torresmorales@insgabrielamistral.cat,gz!7zh*Wq\
Jordi,Sanchez Martínez,1rESO,jordi.sanchezmartínez@insgabrielamistral.cat,SBmZl}:i}n,jordi.sanchezmartínez@insgabrielamistral.cat,SBmZl}:i}n
Albert,Ribas Prat,1rESO,albert.ribasprat@insgabrielamistral.cat,"$""Oc<,?Sno",albert.ribasprat@insgabrielamistral.cat,"$""Oc<,?Sno"
Jordi,Torres Costa,DAM1,jordi.torrescosta@insgabrielamistral.cat,H8Q-Yo!5Mp,jordi.torrescosta@insgabrielamistral.cat,H8Q-Yo!5Mp
Albert,Ferrer Ferrer,2nESO,albert.ferrerferrer@insgabrielamistral.cat,]$hG2*?%h),albert.ferrerferrer@insgabrielamistral.cat,]$hG2*?%h)
Anna,Mas Navarro,ASIX1,anna.masnavarro@insgabrielamistral.cat,PyuY+&5z@=,anna.masnavarro@insgabrielamistral.cat,PyuY+&5z@=
Maria,Ribas Garcia,SMIX1A,maria.ribasgarcia@insgabrielamistral.cat,"G>>Sy,P7io",maria.ribasgarcia@insgabrielamistral.cat,"G>>Sy,P7io"
Joan,Sanchez Gomez,ASIX2,joan.sanchezgomez@insgabrielamistral.cat,",dyzlvSc_Y",joan.sanchezgomez@insgabrielamistral.cat,",dyzlvSc_Y"
Laura,Mas Navarro,ASIX2,laura.masnavarro@insgabrielamistral.cat,#ji%Ez|d5d,laura.masnavarro@insgabrielamistral.cat,#ji%Ez|d5d
Sandra,Torres Martínez,1rESO,sandra.torresmartínez@insgabrielamistral.cat,DWq%oiS]=m,sandra.torresmartínez@insgabrielamistral.cat,DWq%oiS]=m
Marta,Gomez Sanchez,1rESO,marta.gomezsanchez@insgabrielamistral.cat,"y,DKaNR90F",marta.gomezsanchez@insgabrielamistral.cat,"y,DKaNR90F"
Anna,Navarro Torres,4rtESO,anna.navarrotorres@insgabrielamistral.cat,`1*:tMmYaB,anna.navarrotorres@insgabrielamistral.cat,`1*:tMmYaB
Albert,Gomez Sanchez,DAM1,albert.gomezsanchez@insgabrielamistral.cat,JXKk'Gs*_5,albert.gomezsanchez@insgabrielamistral.cat,JXKk'Gs*_5
Joan,Prat Vidal,1rESO,joan.pratvidal@insgabrielamistral.cat,?H8[e!0uxh,joan.pratvidal@insgabrielamistral.cat,?H8[e!0uxh
David,Colom Morales,4rtESO,david.colommorales@insgabrielamistral.cat,L&v3U;+hTX,david.colommorales@insgabrielamistral.cat,L&v3U;+hTX
Laura,Bosch Colom,SMIX1A,laura.boschcolom@insgabrielamistral.cat,wN#h11TPU1,laura.boschcolom@insgabrielamistral.cat,wN#h11TPU1
Marc,Bosch López,3rESO,marc.boschlópez@insgabrielamistral.cat,;q}8`A%\-M,marc.boschlópez@insgabrielamistral.cat,;q}8`A%\-M
David,Ribas Torres,3rESO,david.ribastorres@insgabrielamistral.cat,_=N@7{a+68,david.ribastorres@insgabrielamistral.cat,_=N@7{a+68
Marc,Gomez Ferrer,SMIX1A,marc.gomezferrer@insgabrielamistral.cat,K{ua>s9xdH,marc.gomezferrer@insgabrielamistral.cat,K{ua>s9xdH
Sergi,Ferrer Martínez,4rtESO,sergi.ferrermartínez@insgabrielamistral.cat,W@BHJb~lxL,sergi.ferrermartínez@insgabrielamistral.cat,W@BHJb~lxL
Sandra,Morales Vidal,ASIX2,sandra.moralesvidal@insgabrielamistral.cat,37#sdM[d3X,sandra.moralesvidal@insgabrielamistral.cat,37#sdM[d3X
Albert,Vidal Navarro,DAM2,albert.vidalnavarro@insgabrielamistral.cat,"4~f""h%>X5{",albert.vidalnavarro@insgabrielamistral.cat,"4~f""h%>X5{"
Nuria,Prat Vidal,DAM2,nuria.pratvidal@insgabrielamistral.cat,Sg)L59N9|?,nuria.pratvidal@insgabrielamistral.cat,Sg)L59N9|?
Clara,Colom Vidal,SMIX1B,clara.colomvidal@insgabrielamistral.cat,Mx1%p>27Me,clara.colomvidal@insgabrielamistral.cat,Mx1%p>27Me
Mireia,Bosch Sanchez,4rtESO,mireia.boschsanchez@insgabrielamistral.cat,?DCb91x&n2,mireia.boschsanchez@insgabrielamistral.cat,?DCb91x&n2
David,Sanchez Ribas,DAM2,david.sanchezribas@insgabrielamistral.cat,Lga`3T)&Z*,david.sanchezribas@insgabrielamistral.cat,Lga`3T)&Z*
Carles,Navarro Martínez,ASIX2,carles.navarromartínez@insgabrielamistral.cat,Jf2{?}1)>.,carles.navarromartínez@insgabrielamistral.cat,Jf2{?}1)>.
Marc,Colom Costa,ASIX1,marc.colomcosta@insgabrielamistral.cat,{DCc3FI`w1,marc.colomcosta@insgabrielamistral.cat,{DCc3FI`w1
David,Torres Martínez,4rtESO,david.torresmartínez@insgabrielamistral.cat,1[Y+YC>u7j,david.torresmartínez@insgabrielamistral.cat,1[Y+YC>u7j
Nuria,Prat Martínez,SMIX1B,nuria.pratmartínez@insgabrielamistral.cat,3fKAit|ep2,nuria.pratmartínez@insgabrielamistral.cat,3fKAit|ep2
Josep,Gomez Ribas,DAM1,josep.gomezribas@insgabrielamistral.cat,2*mR+J=R8Z,josep.gomezribas@insgabrielamistral.cat,2*mR+J=R8Z
Sandra,Morales Colom,ASIX2,sandra.moralescolom@insgabrielamistral.cat,XK+$He{Xl3,sandra.moralescolom@insgabrielamistral.cat,XK+$He{Xl3
Maria,Navarro Gomez,4rtESO,maria.navarrogomez@insgabrielamistral.cat,-dGTU%$`g(,maria.navarrogomez@insgabrielamistral.cat,-dGTU%$`g(
